alpha,cl,cd,cdp,cm,top_xtr,bot_xtr
-4.0,-0.4741,0.00888,0.00327,0.0026,0.9816,0.3593
-2.0,-0.2134,0.00828,0.00232,-0.0034,0.7554,0.4757
0.0,0.0,0.00825,0.00205,-0.0,0.5963,0.5962
2.0,0.2135,0.00828,0.00232,0.0034,0.4758,0.7555
4.0,0.4741,0.00888,0.00327,-0.0026,0.3593,0.9816
6.0,0.7022,0.01042,0.00456,-0.0042,0.2442,1.0
8.0,0.8834,0.01368,0.0073,0.0028,0.0897,1.0
10.0,1.0354,0.01996,0.01363,0.0126,0.0275,1.0
12.0,1.0939,0.03011,0.02434,0.0287,0.0176,1.0
14.0,1.0982,0.05087,0.04585,0.0261,0.0138,1.0
16.0,1.0331,0.08862,0.08474,0.0084,0.0127,1.0
