alpha,cl,cd,cdp,cm,top_xtr,bot_xtr
-4.0,-0.1882,0.01028,0.00394,-0.059,0.9465,0.1708
-2.0,0.031,0.00795,0.00263,-0.0571,0.8732,0.4769
0.0,0.2328,0.0068,0.00247,-0.0494,0.7637,0.8973
2.0,0.518,0.00769,0.00268,-0.0611,0.6123,1.0
4.0,0.707,0.0089,0.0033,-0.0542,0.4778,1.0
6.0,0.8946,0.01101,0.00478,-0.0474,0.2935,1.0
8.0,1.0595,0.01591,0.00857,-0.0386,0.0811,1.0
10.0,1.2046,0.02112,0.01401,-0.0272,0.0524,1.0
12.0,1.2966,0.02912,0.02242,-0.0121,0.0406,1.0
14.0,1.3599,0.04146,0.03547,-0.0035,0.0315,1.0
16.0,1.368,0.06318,0.05798,-0.0039,0.0254,1.0
18.0,1.3132,0.09925,0.09507,-0.0167,0.0219,1.0
