alpha,cl,cd,cdp,cm,top_xtr,bot_xtr
-4.0,-0.264,0.01202,0.0056,-0.0443,0.9832,0.0321
-2.0,0.014,0.00701,0.00283,-0.0574,0.9478,0.6935
0.0,0.2621,0.00623,0.00207,-0.0597,0.8618,0.8589
2.0,0.4878,0.00652,0.00197,-0.0579,0.6925,0.9873
4.0,0.6918,0.00819,0.00277,-0.0549,0.4594,1.0
6.0,0.8823,0.01155,0.00507,-0.0501,0.1661,1.0
8.0,1.0538,0.01756,0.01058,-0.0425,0.0143,1.0
10.0,1.1789,0.02837,0.02248,-0.0289,0.0092,1.0
12.0,1.0957,0.04066,0.03674,-0.0076,0.0084,1.0
14.0,0.8884,0.11019,0.108,-0.0382,0.0096,1.0
